- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Prevented directional-burst hold leakage during shoot-lockout: homing-missile impact now clears burst tracking and `updateRearShotTracking` now hard-gates on `player.attackDisableTimer`.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped `systems.js` runtime cache token to `v=20260222-4` so clients load the updated lockout/burst-tracking behavior.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Removed permanent SFX error latch: transient fetch/decode failures now retry after a bounded cooldown (`SFX_ERROR_RETRY_COOLDOWN_MS`) while retaining synth fallback immediately.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped `audio.js` runtime cache token to `v=20260222-3` so clients load the new SFX retry path.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Normalized music candidate matching by decoded base-path (query-stripped + `decodeURIComponent`) and reset `currentTrackKey` on hard stop so same-floor replay does not stall on query/path variants.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Added floor 1–8 compounded water-wrapper background layer with deeper OSAN-compliant support-color integration and progressive trippy motion scaling by floor depth/progress/danger.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Raised floor 1–8 water-wrapper baseline intensity (+alpha/amp/visibility) and added `debug.visualState` payload (`floorPack`, `theme`, `waterState`, `waterStateMissingInPlayingFloorRange`) to `render_game_to_text`.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped `render.js` runtime cache token to `v=20260222-4` so clients pull the new floor 1–8 background animation pass immediately.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped `render.js` runtime cache token to `v=20260222-5` for this floor-visual intensity/dependency patch.
- /Users/abelsanchez/CODEX/WONDERLAND/final_build/COMPONENT__Render.txt | completed | Updated render component spec to reflect elevated floor-1..8 wrapper baseline and added visual-state debug contract in `render_game_to_text`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Centralized bomb gate state through `evaluateBombGateState()` and reuses one deterministic floor-check path for both `canTrigger` and `trigger` so floor-1 SPACE-bomb activation cannot pass around stale counters.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Bumped `MUSIC_CACHE_BUST` to `v=20260221-19` to force music track cache refresh and prevent stale audio payloads after path/runtime updates.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Bumped `CHARACTER_ART_CACHE_BUST` to `v=20260221-19` to ensure current player sprite contract always reloads.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped all runtime script cache-bust tokens to `v=20260221-19` to ensure bundled logic and sprite/audio cache-bustes are aligned.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Bumped `CHARACTER_ART_CACHE_BUST` to `v=20260221-14` to force fresh character asset cache reads.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped runtime script cache-bust token to `v=20260221-14` so space-bomb/music/character-art patches load immediately.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Hardened floor-1 bomb gating through PLAYING-state + floor-id check and `isBombAvailableOnCurrentFloor()` precheck.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Adjusted `resolveCurrentFloorId()` to avoid defaulting invalid game-floor context to 1, preventing accidental unlock bypass.
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Decoupled shoot/dual pose activation from `attackDisableTimer` so visuals follow active arrow input during lockout.
- /Users/abelsanchez/CODEX/WONDERLAND/src/content.js | completed | Extended `SONG_FILE_SUFFIXES` with uppercase variants (`.WAV`, `.MP3`, `.OGG`) for music resolution robustness.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Bumped `MUSIC_CACHE_BUST` to `v=20260221-14` for cache refresh parity with music startup/runtime cache tokens.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped core runtime script and dependency tokens to `v=20260221-14`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/systems.js | completed | Added `shouldTriggerBombNow()` as the single SPACE activation gate to enforce PLAYING-state and unlock-floor checks atomically in one path.
- /Users/abelsanchez/CODEX/WONDERLAND/index.html | completed | Bumped all runtime script cache-bust tokens to `v=20260221-11`.
- /Users/abelsanchez/CODEX/WONDERLAND/src/audio.js | completed | Bumped `MUSIC_CACHE_BUST` to `v=20260221-10` and now reject invalid/non-finite floor IDs in `playForFloor` (invalid contexts call `stop()`).
- /Users/abelsanchez/CODEX/WONDERLAND/src/render.js | completed | Bumped `CHARACTER_ART_CACHE_BUST` to `v=20260221-10` for updated sprite resolution refresh.
